index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
142	PPPPC	AGO	1,685.04	1,714.96	1,774.42	1,872.90	2,002.78	1,898.40	1,937.48	2,016.51	2,156.61	2,181.57	2,127.42	2,155.36	2,015.33	1,522.75	1,530.09	1,743.98	1,957.60	2,073.75	2,130.67	2,146.08	2,196.08	2,272.42	2,546.23	2,653.67	2,935.23	3,478.58	4,202.83	5,135.41	5,786.05	5,796.76	5,890.81	6,066.03	6,307.06	6,646.20	6,883.72	6,958.25	6,844.43	6,881.91	6,935.41	6,976.84	7,014.53	7,042.11	7,078.74	2015
143	PPPSH	AGO	0.114	0.107	0.107	0.108	0.11	0.11	0.109	0.109	0.111	0.107	0.099	0.098	0.083	0.062	0.061	0.067	0.074	0.076	0.077	0.076	0.075	0.076	0.084	0.085	0.09	0.102	0.116	0.135	0.15	0.154	0.151	0.151	0.154	0.159	0.161	0.161	0.156	0.153	0.15	0.147	0.144	0.141	0.137	2011
144	PPPEX	AGO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.001	0.028	0.054	0.075	0.483	2.448	4.939	11.812	21.412	29.131	35.791	39.253	43.059	50.543	46.44	56.154	68.315	71.822	72.451	70.201	66.664	83.708	104.667	118.178	131.167	142.344	152.746	161.235	2015
145	NID_NGDP	AGO	17.832	19.342	21.943	18.213	18.163	13.902	13.957	13.84	10.784	10.727	6.17	13.737	23.575	24.188	23.513	25.538	34.697	25.468	35.198	28.796	15.053	13.628	11.821	12.843	9.167	8.779	15.361	13.505	16.219	15.229	14.433	12.906	14.932	14.698	15.34	9.552	8.35	7.938	7.308	7.284	7.238	7.184	7.203	2015
146	NGSD_NGDP	AGO	19.808	16.9	13.894	12.825	16.153	13.189	6.053	15.831	2.999	10.169	6.181	12.726	16.656	16.154	18.051	15.37	30.248	13.96	6.373	0.098	23.71	-2.385	10.619	7.768	12.635	26.977	40.942	31.009	24.765	5.199	23.534	25.473	26.942	21.382	12.384	-0.425	4.002	4.093	4.143	3.555	3.394	3.437	3.722	2015
147	PCPI	AGO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.001	0.027	0.088	0.183	0.637	2.707	6.838	14.284	28.313	40.637	49.968	56.616	63.551	71.472	81.278	93.047	105.594	116.454	126.681	135.927	149.91	198.447	252.054	296.823	337.704	374.496	409.885	446.775	2015
148	PCPIPCH	AGO	46.708	1.391	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	85.265	299.097	1,379.48	949.771	2,672.23	4,146.01	221.492	107.429	248.248	325.029	152.586	108.893	98.219	43.525	22.961	13.305	12.249	12.465	13.721	14.48	13.484	10.285	8.782	7.298	10.287	32.378	27.013	17.762	13.773	10.895	9.45	9	2015
149	PCPIE	AGO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.003	0.048	0.119	0.278	1.195	4.401	9.508	19.548	34.514	45.217	53.596	60.139	67.221	76.074	86.714	100	111.376	121.447	130.782	140.588	160.651	228.037	273.645	317.428	355.519	391.071	426.268	464.632	2015
150	PCPIEPCH	AGO	n/a	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	175.72	495.793	1,837.87	971.954	3,783.92	1,650.83	149.621	134.809	329.001	268.35	116.068	105.59	76.56	31.013	18.53	12.207	11.776	13.17	13.987	15.322	11.376	9.042	7.687	7.498	14.27	41.946	20	16	12	10	9	9	2015
151	FLIBOR6	AGO																																												
152	TM_RPCH	AGO	-39	17.3	1.7	-2.7	2.2	-9.4	-6.5	-1.5	26.9	-22	-15.8	-3.886	21.141	-19.125	-26.769	27.968	27.764	8.432	-5.44	26.806	3.965	13.854	-6.072	13.358	9.402	38.191	1.522	47.664	45.57	6.752	-21.076	9.993	8.463	8.991	11.444	-21.778	-27.78	28.096	1.291	1.543	0.354	0.802	0.555	2015
153	TMG_RPCH	AGO	-5	-3.3	-21.5	-17.4	30.4	-14.5	-25.7	16.8	2.1	-5.6	12.9	-14.257	42.589	-23.32	-19.574	15.717	11.645	39.356	-15.434	56.08	1.023	2.037	5.055	32.941	-3.648	38.996	-0.817	42.315	36.384	18.85	-31.448	7.718	21.792	12.808	11.087	-20.144	-30.035	28.277	1.302	1.556	0.36	0.807	0.563	2015
154	TX_RPCH	AGO	-3	8	-12.9	4.6	12.5	-5.9	-33.8	54.3	7	2.7	14.6	0.186	8.359	-8.275	8.236	12.24	10.698	6.02	2.536	1.426	1.624	-2.578	23.562	-1.931	13.537	28.148	14.255	17.501	10.105	-2.64	-3.266	-5.404	3.838	0.064	-2.115	6.721	1.958	0.632	2.068	0.424	0.552	0.05	0.323	2015
155	TXG_RPCH	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.536	1.426	1.624	-2.578	23.562	-1.578	13.226	30.262	9.97	22.12	10.307	-3.61	-3.425	-4.837	3.829	-0.752	-2.985	5.75	1.546	1.685	1.677	0.186	0.469	-0.028	0.253	2015
156	LUR	AGO																																												
157	LE	AGO																																												
158	LP	AGO	8.872	9.111	9.352	9.597	9.851	11.101	11.418	11.71	12.027	12.357	12.686	13.067	13.459	13.863	14.279	14.707	15.148	15.603	16.071	16.553	17.05	17.561	18.088	18.631	19.189	19.765	20.358	20.969	21.598	22.246	22.913	23.601	24.309	25.038	25.789	26.563	27.36	28.18	29.026	29.897	30.793	31.717	32.669	2015
159	GGR	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.4	0.747	0.864	8.638	48.051	90.32	190.836	394.898	609.686	1,085.84	1,685.03	2,124.71	3,217.43	2,069.73	3,295.49	4,776.15	5,053.80	4,848.61	4,402.64	3,366.74	3,070.80	4,018.11	4,647.19	5,304.57	5,952.03	6,592.57	7,253.86	2015
160	GGR_NGDP	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	47.828	42.664	33.794	50.304	52.42	45.822	35.079	37.304	37.157	44.125	50.172	45.823	50.94	34.561	43.479	48.835	45.896	40.216	35.327	27.324	19.59	19.795	19.534	19.389	19.358	19.324	19.455	2015
161	GGX	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.339	0.754	1.073	10.873	45.484	82.661	207.753	457.154	586.399	854.785	1,288.35	1,908.84	3,498.79	2,510.20	3,034.03	3,927.55	4,548.77	4,888.69	5,222.02	3,773.71	3,718.69	5,187.74	5,584.08	6,265.99	6,875.15	7,473.99	8,020.61	2015
162	GGX_NGDP	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	40.603	43.037	42	63.323	49.619	41.937	38.189	43.185	35.738	34.736	38.36	41.167	55.394	41.916	40.029	40.159	41.309	40.549	41.902	30.627	23.723	25.557	23.473	22.903	22.361	21.907	21.511	2015
163	GGXCNL	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.06	-0.007	-0.21	-2.236	2.567	7.658	-16.917	-62.256	23.287	231.059	396.677	215.87	-281.356	-440.464	261.463	848.602	505.037	-40.085	-819.375	-406.964	-647.887	-1,169.63	-936.886	-961.422	-923.12	-881.419	-766.75	2015
164	GGXCNL_NGDP	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7.225	-0.372	-8.206	-13.02	2.8	3.885	-3.11	-5.881	1.419	9.389	11.811	4.656	-4.455	-7.355	3.45	8.677	4.586	-0.332	-6.575	-3.303	-4.133	-5.762	-3.938	-3.514	-3.002	-2.584	-2.056	2015
165	GGSB	AGO																																												
166	GGSB_NPGDP	AGO																																												
167	GGXONLB	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.153	0.117	0.007	-0.684	7.54	17.478	-1.385	-43.252	61.076	279.643	450.016	269.528	-158.7	-337.328	350.999	943.251	610.322	59.02	-669.879	-158.494	-184.177	-452.437	-211.603	-54.413	139.285	333.598	448.268	2015
168	GGXONLB_NGDP	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18.365	6.663	0.278	-3.983	8.226	8.867	-0.255	-4.086	3.722	11.364	13.399	5.813	-2.513	-5.633	4.631	9.645	5.543	0.49	-5.375	-1.286	-1.175	-2.229	-0.889	-0.199	0.453	0.978	1.202	2015
169	GGXWDN	AGO																																												
170	GGXWDN_NGDP	AGO																																												
171	GGXWDG	AGO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	95.83	201.158	385.967	727.168	852.47	879.416	627.932	744.928	1,051.42	1,360.01	3,357.02	3,305.76	3,246.90	3,963.40	5,067.35	8,062.96	11,267.75	12,437.38	14,850.47	17,195.39	19,387.66	21,557.11	23,060.62	2015
